City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
422,Mancio Lima,BR,78.8,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
424,Manta,EC,84.2,few clouds,-0.95,-80.7333,Balandra Hotel
427,Nampula,MZ,73.4,few clouds,-15.1165,39.2666,BUTIK Hotel
428,Christchurch,NZ,75.2,few clouds,-43.5333,172.6333,The George
430,Ende,ID,79.9,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
431,Marawi,PH,75.0,broken clouds,7.9986,124.2928,Derogongan Residence
432,Catia La Mar,VE,82.4,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
439,Tutoia,BR,76.57,overcast clouds,-2.7619,-42.2744,Pousada Guará's
440,Rondonopolis,BR,80.44,scattered clouds,-16.4708,-54.6356,Serras Hotel
441,Labis,MY,73.27,broken clouds,2.385,103.021,Labis Sunrise Farm
442,Cartagena Del Chaira,CO,76.69,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
443,Linhares,BR,74.57,broken clouds,-19.3911,-40.0722,Hotel Conceição
446,Pathein,MM,75.65,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
447,Jacareacanga,BR,74.25,broken clouds,-6.2222,-57.7528,Casa do Ian😎
448,Clearwater,US,82.0,clear sky,27.9659,-82.8001,Shephard's Beach Resort
450,Mogadishu,SO,80.28,overcast clouds,2.0371,45.3438,Olympic Hotel
451,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
452,Kampot,KH,82.4,few clouds,10.6167,104.1833,Two Moons Hotel
453,Avera,US,82.4,scattered clouds,33.194,-82.5271,
454,Poum,NC,81.16,clear sky,-20.2333,164.0167,Gîte kajeon
456,Nizwa,OM,76.41,few clouds,22.9333,57.5333,Orient Apartments
462,Veraval,IN,78.64,few clouds,20.9,70.3667,Lords Inn Somnath
465,Beberibe,BR,78.01,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
466,Sisophon,KH,80.02,overcast clouds,13.5859,102.9737,Pyramid Hotel
467,Wajir,KE,84.87,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
474,Ixtapa,MX,75.2,broken clouds,20.7,-105.2,Hotel Plaza Providencia
475,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
484,Pontianak,ID,77.0,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
485,Lumphat,KH,75.22,overcast clouds,13.4878,106.9816,Lumphat Homestay
486,Kattivakkam,IN,77.0,mist,13.2167,80.3167,Raj's villa
487,Katobu,ID,75.0,overcast clouds,-4.9408,122.5276,La Ode Husein
489,San Jose,US,78.01,clear sky,37.3394,-121.895,The Westin San Jose
492,Ambilobe,MG,72.0,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
495,Maragogi,BR,76.6,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
497,Maine-Soroa,NE,74.08,clear sky,13.2114,12.0241,Complexe
499,Noumea,NC,84.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
500,Ndele,CF,78.17,broken clouds,8.4109,20.6473,
503,Santarem,BR,78.8,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
506,Dicabisagan,PH,77.97,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
507,Atambua,ID,75.22,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
517,Mount Isa,AU,82.4,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
518,Mount Pleasant,US,75.2,clear sky,32.7941,-79.8626,Best Western Patriots Point
519,Sur,OM,81.7,broken clouds,22.5667,59.5289,Sur Plaza Hotel
522,Trinidad,BO,78.8,moderate rain,-14.8333,-64.9,Hotel Piesta
527,Takoradi,GH,79.02,broken clouds,4.8845,-1.7554,Raybow International Hotel
530,Son Tay,VN,73.4,mist,21.1378,105.505,Khách Sạn Đông Thành
537,Srivardhan,IN,81.99,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
539,Marrakesh,MA,75.2,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
541,Hobyo,SO,79.92,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
542,Itacarambi,BR,75.88,scattered clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
544,Bhan,PK,84.4,clear sky,26.5583,67.7214,ZAMIN Ali Khushk
559,Lake Charles,US,77.0,overcast clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
564,Lagos,NG,79.59,broken clouds,6.5833,3.75,
568,Bubaque,GW,76.28,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
578,Potiskum,NG,72.7,scattered clouds,11.7091,11.0694,Tamir Hotel Ltd
579,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
583,Auki,SB,84.47,broken clouds,-8.7676,160.7034,Auki Motel
585,Gold Coast,AU,77.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
587,Coihueco,CL,80.6,clear sky,-36.6167,-71.8333,Frutillares Coihueco
589,Tandalti,SD,76.64,clear sky,13.0167,31.8667,منزل : الهادي محمد مساعد
593,Makakilo City,US,82.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
595,Guarapari,BR,78.8,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
598,Nisia Floresta,BR,80.6,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
600,Point Fortin,TT,75.99,scattered clouds,10.1833,-61.6833,Jus Les' Suites
601,Puerto Gaitan,CO,83.68,overcast clouds,4.3133,-72.0816,Brisas del Yucao
609,Looc,PH,79.59,overcast clouds,12.2605,121.9926,Cummings Highlands
617,Villa Guerrero,MX,89.6,scattered clouds,18.8667,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
618,Namibe,AO,74.82,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
623,North Fort Myers,US,84.2,few clouds,26.6673,-81.8801,Best Western Fort Myers Waterfront
625,Alice Springs,AU,73.4,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
626,Lima,PE,73.4,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
627,Cove,BJ,79.65,broken clouds,7.221,2.3402,TG Hôtel
630,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
631,Aripuana,BR,73.54,scattered clouds,-9.1667,-60.6333,
632,Rodrigues Alves,BR,78.8,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
639,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
641,Lae,PG,75.2,moderate rain,-6.7221,146.9847,Phils Hotel
642,Vao,NC,77.95,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
647,Birao,CF,78.39,few clouds,10.2849,22.7882,
652,Caimitillo,PA,89.6,few clouds,9.15,-79.5333,Playita Resort
654,Mareeba,AU,80.01,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
656,Douentza,ML,80.6,clear sky,14.9951,-2.9517,Ogomono Doumbo
659,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
662,Sulangan,PH,81.01,overcast clouds,11.1373,123.7228,Maia's Beach Resort
666,Saint Marys,US,82.99,clear sky,30.7305,-81.5465,Spencer House Inn
668,Cape Canaveral,US,79.0,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
669,Ban Nahin,LA,78.08,broken clouds,18.2418,104.2122,
674,Ratangarh,IN,78.71,clear sky,28.0833,74.6,Hotel Shri Laxmi Palace
675,Mtambile,TZ,80.11,overcast clouds,-5.3833,39.7,
678,Pedraza,CO,87.62,overcast clouds,10.1874,-74.915,Hotel Julio Fonseca
679,Neyveli,IN,75.04,overcast clouds,11.536,79.4824,Babusalam Building
689,Brownsville,US,86.0,clear sky,25.9018,-97.4975,University Inn & Suites
691,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
692,Tual,ID,80.91,moderate rain,-5.6667,132.75,Grand Vilia Hotel
694,Gevrai,IN,79.52,clear sky,19.2667,75.75,Jaybhaye
695,Huarmey,PE,72.03,scattered clouds,-10.0681,-78.1522,Hotel Miramar
696,Las Vegas,US,73.99,clear sky,36.175,-115.1372,Plaza Hotel & Casino
699,Nanakuli,US,82.4,clear sky,21.3906,-158.1547,Camp Pālehua
700,Carutapera,BR,74.28,broken clouds,-1.195,-46.02,Lidera
701,Tabatinga,BR,80.6,scattered clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
