City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Bosaso,SO,2021-03-25 01:03:20,11.2842,49.1816,75.22,49,64,7.65
180,Gawler,AU,2021-03-25 01:00:07,-34.6,138.7333,68.0,77,72,8.01
181,Bafq,IR,2021-03-25 01:03:21,31.6128,55.4107,75.02,17,100,8.88
182,Biltine,TD,2021-03-25 01:03:21,14.5333,20.9167,82.31,15,100,10.87
183,Hofn,IS,2021-03-25 01:03:21,64.2539,-15.2082,35.73,67,100,6.89
184,Iisalmi,FI,2021-03-25 01:03:22,63.5592,27.1907,32.0,93,0,5.75
185,Batemans Bay,AU,2021-03-25 01:00:07,-35.7167,150.1833,78.01,66,6,1.86
186,Rodino,RU,2021-03-25 01:03:22,52.5,80.25,22.53,90,96,8.81
187,Biloela,AU,2021-03-25 01:03:23,-24.4167,150.5,84.99,31,0,10.51
188,Ribeira Grande,PT,2021-03-25 01:03:23,38.5167,-28.7,56.97,63,20,3.53
189,Labuan,MY,2021-03-25 01:03:23,5.2767,115.2417,82.4,83,20,4.36
190,Erenhot,CN,2021-03-25 01:03:24,43.6475,111.9767,45.19,23,50,7.76
191,Yar-Sale,RU,2021-03-25 01:03:24,66.8333,70.8333,9.63,95,38,11.41
192,Erzin,TR,2021-03-25 01:03:25,36.9559,36.2,54.0,51,90,21.0
193,Avarua,CK,2021-03-25 01:01:31,-21.2078,-159.775,86.0,74,40,17.27
194,Guerrero Negro,MX,2021-03-25 01:03:25,27.9769,-114.0611,59.88,66,0,14.79
195,Saint-Denis,FR,2021-03-25 00:59:11,48.9167,2.3333,48.99,81,90,2.3
196,Leningradskiy,RU,2021-03-25 01:03:26,69.3833,178.4167,-4.83,92,100,13.58
197,Brigham City,US,2021-03-25 00:59:37,41.5102,-112.0155,44.6,26,90,8.05
198,Aginskoye,RU,2021-03-25 01:03:26,51.1,114.53,31.15,61,2,4.74
199,Concepcion Del Oro,MX,2021-03-25 01:03:26,24.6333,-101.4167,66.72,10,100,25.7
200,Lovozero,RU,2021-03-25 01:03:27,68.005,35.0117,34.7,76,100,21.54
201,Camacha,PT,2021-03-25 01:03:27,33.0833,-16.3333,62.6,82,40,16.11
202,Norman Wells,CA,2021-03-25 01:03:28,65.282,-126.8329,10.4,56,75,10.36
203,Chimbote,PE,2021-03-25 01:00:20,-9.0853,-78.5783,70.74,80,93,5.28
204,Muros,ES,2021-03-25 01:03:28,42.7762,-9.0603,44.01,91,95,5.01
205,Amga,RU,2021-03-25 01:03:29,60.8953,131.9608,-0.45,90,100,2.93
206,Swift Current,CA,2021-03-25 01:03:29,50.2834,-107.8014,44.6,39,90,9.22
207,Torres,BR,2021-03-25 01:03:29,-29.3353,-49.7269,72.54,84,93,3.18
208,Moose Jaw,CA,2021-03-25 01:01:27,50.4001,-105.5344,48.2,29,100,9.22
209,Sobolevo,RU,2021-03-25 01:03:31,54.4299,31.8996,20.95,94,27,3.69
210,Beloha,MG,2021-03-25 01:03:32,-25.1667,45.05,66.18,91,19,4.41
211,Healdsburg,US,2021-03-25 01:03:32,38.6105,-122.8692,64.0,58,75,10.36
212,Aquiraz,BR,2021-03-25 01:03:33,-3.9014,-38.3911,80.6,83,40,3.44
213,Ceres,US,2021-03-25 01:03:33,37.5949,-120.9577,66.2,18,1,5.84
214,Warmbad,NA,2021-03-25 01:03:34,-28.45,18.7333,70.34,47,0,9.19
215,Tasiilaq,GL,2021-03-25 01:03:11,65.6145,-37.6368,5.0,66,75,9.22
216,Le Port,RE,2021-03-25 01:03:34,-20.9373,55.2919,77.0,83,20,8.05
217,Severodvinsk,RU,2021-03-25 01:03:35,64.5635,39.8302,39.2,75,20,11.18
218,Trinidad,BO,2021-03-25 01:02:13,-14.8333,-64.9,73.83,96,84,3.44
219,Andros Town,BS,2021-03-25 01:03:35,24.7,-77.7667,75.2,88,20,10.36
220,Pozo Colorado,PY,2021-03-25 01:03:35,-23.4923,-58.7972,79.0,58,2,5.53
221,Uthal,PK,2021-03-25 01:00:47,25.8072,66.6219,73.87,44,0,0.87
222,Dharmadam,IN,2021-03-25 01:03:36,11.7833,75.4333,77.65,87,34,2.77
223,Bethel,US,2021-03-25 01:03:37,41.3712,-73.414,51.01,94,100,4.0
224,Hirara,JP,2021-03-25 00:59:29,24.8,125.2833,71.6,68,20,10.36
225,Tura,IN,2021-03-25 01:03:37,25.5198,90.2201,74.57,26,2,3.62
226,Buritizeiro,BR,2021-03-25 01:03:38,-17.3511,-44.9622,74.55,63,76,2.01
227,Karaton,ID,2021-03-25 01:03:38,-6.3424,106.1045,86.0,74,20,4.61
228,Hastings,GB,2021-03-25 01:02:51,50.8552,0.5729,48.0,84,99,1.99
229,Haines Junction,CA,2021-03-25 01:03:38,60.7522,-137.5108,30.2,34,100,8.05
230,Ucluelet,CA,2021-03-25 01:03:39,48.9329,-125.5528,48.2,81,90,20.71
231,Teya,RU,2021-03-25 01:03:39,60.3778,92.6267,26.78,89,100,11.52
232,Kindu,CD,2021-03-25 01:03:40,-2.95,25.95,69.66,98,100,2.48
233,Clyde River,CA,2021-03-25 01:03:15,70.4692,-68.5914,-14.8,76,40,16.11
234,Upernavik,GL,2021-03-25 01:03:40,72.7868,-56.1549,-24.5,94,65,4.41
235,Richards Bay,ZA,2021-03-25 01:03:41,-28.783,32.0377,69.64,68,100,3.4
236,Lorengau,PG,2021-03-25 01:03:41,-2.0226,147.2712,83.44,73,74,7.09
237,Maceio,BR,2021-03-25 01:03:42,-9.6658,-35.7353,75.2,94,75,3.44
238,Fortuna,US,2021-03-25 01:03:42,40.5982,-124.1573,51.01,87,90,6.91
239,Marsa Matruh,EG,2021-03-25 01:03:42,31.3525,27.2453,53.6,71,20,9.22
240,San Quintin,MX,2021-03-25 01:03:43,30.4833,-115.95,59.32,65,0,8.9
